gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
RCC1,-0.7999999999999999,0.20000000000000007,0.5137754
SNORA73A,-0.7999999999999999,0.20000000000000007,0.4632033
SNORA73B,-1.0,0.0,0.5356387
TRNAU1AP,-1.0,0.0,0.80027974
SNHG12,-1.0,0.0,0.7569924
SNORA61,-1.0,0.0,0.74105763
SNORA44,-1.0,0.0,0.66275275
TAF12,0.39999999999999997,0.6,0.27994323
RAB42,0.6000000000000001,0.3999999999999999,0.6165611
LINC01715,-0.19999999999999998,0.8,0.800541
GMEB1,-0.7999999999999999,0.20000000000000007,0.55225235
YTHDF2,-0.39999999999999997,0.6,0.72504973
EPB41,-0.7999999999999999,0.20000000000000007,0.66236717
TMEM200B,0.7999999999999999,0.20000000000000007,0.9269155
SRSF4,-0.7999999999999999,0.20000000000000007,0.6880997
uc_338,-0.14638501094227999,0.7294239249593866,0.59404635
MECR,-0.19999999999999998,0.8,0.8971111
PTPRU,-0.39999999999999997,0.6,0.9109023
MATN1-AS1,-1.0,0.0,0.7833862
LAPTM5,-0.39999999999999997,0.6,0.91463435
SDC3,-0.19999999999999998,0.8,0.9242971
PUM1,-1.0,0.0,0.8715961
SNRNP40,0.39999999999999997,0.6,0.69756466
RP11-490K7.4,-1.0,0.0,0.6889866
ZCCHC17,0.39999999999999997,0.6,0.75392604
FABP3,-0.7999999999999999,0.20000000000000007,0.90803784
SERINC2,1.0,0.0,0.80333334
TINAGL1,1.0,0.0,0.9445343
PEF1,-0.7999999999999999,0.20000000000000007,0.82589316
RP11-73M7.6,0.0,1.0,0.8033128
COL16A1,0.7999999999999999,0.20000000000000007,0.9327805
ADGRB2,-0.39999999999999997,0.6,0.74229544
PTP4A2,-0.7999999999999999,0.20000000000000007,0.68260276
KHDRBS1,-1.0,0.0,0.7912984
TMEM39B,-0.39999999999999997,0.6,0.75347424
KPNA6,-0.7999999999999999,0.20000000000000007,0.7599835
TXLNA,-0.7999999999999999,0.20000000000000007,0.857652
CCDC28B,-0.39999999999999997,0.6,0.8473416
RP4-622L5.7,-0.39999999999999997,0.6,0.8467712
IQCC,-0.39999999999999997,0.6,0.88008285
TMEM234,-0.39999999999999997,0.6,0.8894746
EIF3I,-0.39999999999999997,0.6,0.7695992
MTMR9LP,0.7999999999999999,0.20000000000000007,0.870673
FAM167B,0.7999999999999999,0.20000000000000007,0.77415556
LCK,0.39999999999999997,0.6,0.8243627
HDAC1,-1.0,0.0,0.9019492
MARCKSL1,-0.7999999999999999,0.20000000000000007,0.82568455
TSSK3,-0.39999999999999997,0.6,0.6249507
FAM229A,-0.19999999999999998,0.8,0.6339368
BSDC1,-0.7999999999999999,0.20000000000000007,0.69925934
ZBTB8A,0.19999999999999998,0.8,0.8885132
ZBTB8OS,0.7999999999999999,0.20000000000000007,0.68900245
RBBP4,-0.19999999999999998,0.8,0.7478875
SYNC,-1.0,0.0,0.91718054
KIAA1522,0.7999999999999999,0.20000000000000007,0.9614903
YARS,-0.7999999999999999,0.20000000000000007,0.50126916
S100PBP,-0.7999999999999999,0.20000000000000007,0.75379
FNDC5,-0.7999999999999999,0.20000000000000007,0.87957174
TMEM54,0.7999999999999999,0.20000000000000007,0.9272448
RNF19B,-1.0,0.0,0.5943424
AK2,-0.39999999999999997,0.6,0.70489734
AZIN2,-0.7999999999999999,0.20000000000000007,0.7372769
RP11-131M11.2,-0.19999999999999998,0.8,0.6105908
TRIM62,-0.39999999999999997,0.6,0.6926343
ZNF362,-0.39999999999999997,0.6,0.8412576
RP11-415J8.3,-1.0,0.0,0.64783096
PHC2,-1.0,0.0,0.4868495
RN7SKP16,-0.7999999999999999,0.20000000000000007,0.3368325
ZSCAN20,-0.39999999999999997,0.6,0.78312445
