"","donor","tissue","age_mid","Residuals"
"CKMT2",0.00292461009789113,0.931426795681632,0.000183028752187139,0.0654655654682894
"NKTR",0.0198287321534782,0.78242884401703,0.00293050973833447,0.194811914091157
"STK39",3.52826771374467e-13,0.752617222887338,3.15282397404286e-05,0.247351248872569
"CDV3",0.0111896162991924,0.600312420852426,0.000520827499352693,0.387977135349029
"XPC",0.0176167696917185,0.659793539860207,0.000813656661564219,0.321776033786511
"TOP2B",0.0076734247934901,0.70343430067013,8.75125490860641e-06,0.288883523281471
"SEPT11",0.00478136039976369,0.88929058766034,8.27275388115588e-06,0.105919779186015
"PLEKHA3",0.00382415648932349,0.861410947215147,2.91333422820257e-06,0.134761982961301
"ARRDC3",0.0727588678032863,0.480904678165673,0.00385756122575075,0.44247889280529
"EDEM1",0.0160199493348401,0.706158547649084,0.000478712898050324,0.277342790118026
"CDKN2AIP",0.0123581862089351,0.707678740158792,0.00176272948785642,0.278200344144416
"CLCN3",0.0172267545922418,0.799531769968673,0.00167812799262711,0.181563347446458
"MSH6",0.0132252451590692,0.820487309739405,0.000125831141928201,0.166161613959598
"CCDC142",0.0805388098737856,0.635772570051598,0.00229982557055639,0.28138879450406
"PRDX6",0.0863760913967229,0.636628973628505,0.00874154488687593,0.268253390087897
"SMC4",0.0200244362769431,0.697055601352102,6.32126211551912e-06,0.28291364110884
"MLLT11",0.0323117321650417,0.285524923986108,0.000488235132829531,0.68167510871602
"FARSB",0.0134710506452055,0.799411272395366,0.000313105291231185,0.186804571668198
"TUBB2B",0.1124091347869,0.49863315150061,0.00493712667081692,0.384020587041673
"PRDX1",0.0148167052246653,0.81630771613198,0.00293403188635769,0.165941546756997
"SGCB",0.00580675100773495,0.948879556153226,0.000120486895327218,0.0451932059437115
"ATOH8",0.0614799621290163,0.782393042819639,0.00171659304005117,0.154410402011294
"AC008781.7",0.0309080147417814,0.615684344538818,0.00227263045774763,0.351135010261653
"FAM212A",0.0339000593431914,0.728559672811636,0.00100518772818943,0.236535080116983
"GREB1",0.0807600891073912,0.471577775188726,0.000540486735393652,0.447121648968489
"UXS1",0.0798211420119415,0.622824477960418,0.00238981686497934,0.294964563162661
"SOWAHC",0.00267045838231406,0.946556851338803,0.000117833088115993,0.0506548571907671
"THPO",0.0318474181243746,0.660852416028514,0.00148338054965706,0.305816785297455
"GUK1",0.0225808996416401,0.788967899602633,0.00393115363763243,0.184520047118094
"BCAS2",0.0142935924180832,0.730684645415524,0.00060168289617355,0.254420079270219
"IQCC",0.0139410986787322,0.853213546536962,0.00263583536440055,0.130209519419905
"TRAIP",0.115228598903976,0.614100308337153,0.0109520895166325,0.259719003242239
"SYF2",0.0325863412425768,0.592605460697017,0.0048873767344854,0.369920821325921
"MINDY1",0.0351062471030425,0.558611516633854,0.0135592500494086,0.392722986213695
"ELOCP19",0.049102335708552,0.613977889236083,0.00249366212048709,0.334426112934878
"SNRPGP10",0.0447366954869244,0.687899928322661,0.00164469567548971,0.265718680514925
"CCDC88A",0.0148906984941611,0.690418933415441,0.000542315414700572,0.294148052675697
"HSPB11",0.00165048377593151,0.914333998311847,0.00045375782101693,0.0835617600912044
"PNPT1",0.00898739110720322,0.85417483769369,0.000117449650460647,0.136720321548646
"DGKG",0.0234651988359951,0.616795861076082,0.000425978239392585,0.359312961848531
"MSMO1",0.0194127002710448,0.804431584814346,0.000198372131785771,0.175957342782823
"SEMA5A",0.0398871338417718,0.797941988670478,0.00239952591734714,0.159771351570403
"KIF9",0.00366074650982317,0.880025062128245,0.000320935266054153,0.115993256095877
"DSP",0.00060351182076166,0.961912061958684,0.000391217490117879,0.0370932087304365
"RASA1",0.00804187249726749,0.814297542119235,0.000190581351109079,0.177470004032389
"NOTCH2NL",0.107941210858449,0.625914788228732,2.46757798799867e-05,0.26611932513294
"SETDB1",0.0140742925274466,0.590475012643883,0.00347128394213908,0.391979410886531
"ADAMTS9",0.123818145379372,0.658951860082488,0.00127649949583627,0.215953495042304
"SHISA3",0.0304535614259977,0.717679729747996,0.00196768375145097,0.249899025074555
"FAM189B",0.0623078170112434,0.715356507295053,0.00787993745590418,0.214455738237799
"DUSP28",0.0139310547896945,0.564133711970306,0.00015857016399055,0.421776663076009
"LDAH",0.0207978027548754,0.887231647766487,4.15086124642311e-05,0.0919290408661735
"TMEM45A",0.00711894599192327,0.930853128874027,2.57603285249872e-05,0.0620021648055246
"MCCC1",0.0187480909914102,0.820119854661719,0.00341642482613496,0.157715629520736
"HLA-L",0.175155063457824,0.510776589762957,0.00787135418682862,0.30619699259239
"UBE2D3",0.07858573322658,0.148799068901515,0.00323407022280203,0.769381127649103
"OXNAD1",0.00609768670143536,0.442183659210793,7.91308107386957e-05,0.551639523277033
"MTMR12",0.00443860815848764,0.871456398676197,0.000306468481414655,0.123798524683901
"YTHDC1",0.0224154317309389,0.661324017646063,0.000553070781409916,0.315707479841588
"LYPLAL1",0.0171120222487648,0.718917782056945,3.82472115884741e-07,0.263969813222174
"RIPK1",0.0446906853599754,0.6573200935819,0.0078157087053656,0.290173512352759
"ERICH2",0.0302346259831,0.698561267911615,0.000825579462953575,0.270378526642331
"RABL2A",0.02448585966061,0.847114163372098,0.00395025552730057,0.124449721439992
"ARHGAP24",0.00310434784590331,0.69460797371194,0.00111386932514802,0.301173809117009
"RP5-1092A3.4",0.192074587726015,0.409847590744422,0.00990586739549772,0.388171954134066
"HACD2",0.0157599473073552,0.823343439581513,0.000745755042932297,0.160150858068199
"IER5",0.0315502037110995,0.365698495257783,0.0168790908711317,0.585872210159986
"FCGR2C",0.165576600902733,0.436533434443967,0.00305838456482429,0.394831580088476
"C1orf56",0.0749721341283361,0.679426590767769,0.0118450075715606,0.233756267532335
"HIGD2A",0.0361223697552018,0.419822470198635,0.00226146890196604,0.541793691144197
"CENPH",0.0775961044740862,0.584194407971707,0.0105953476020305,0.327614139952177
"TNFSF4",0.0145652662927754,0.411047176646089,0.00288429372894569,0.57150326333219
"DFFB",0.0427093945363084,0.659324150092059,0.000478529073669067,0.297487926297964
"TRAK2",0.0274197448728999,0.801467101115245,0.00130150961446998,0.169811644397385
"ANKRD23",0.0156020517586047,0.923431418698095,0.00155326779084623,0.0594132617524544
"SEC61A1",0.0296926508145006,0.676131499669383,0.000768255322105254,0.293407594194011
"COQ10B",0.0256967530550894,0.649869127395806,0.000324089384427897,0.324110030164677
"COL9A2",0.0121115767848509,0.729546440836217,0.000485883001462046,0.25785609937747
"TMCC2",0.0994732086608811,0.549072897358373,8.92940535084812e-05,0.351364599927237
"FAM20B",0.00628180901317434,0.874891169309302,0.000344750739127775,0.118482270938396
"SRPRB",0.062000760172265,0.652932256621134,0.000937248345254422,0.284129734861346
"RP11-384L8.1",0.0168997088843965,0.849728545991762,6.26581770417341e-06,0.133365479306138
"CAMK2D",0.0138911878459598,0.840303573561742,0.00157349732093238,0.144231741271366
"MAGOH",0.00715590712971061,0.804603465540989,0.000842015005543444,0.187398612323757
"EEF1E1",0.00820056323963326,0.826293901358901,6.9350531877488e-05,0.165436184869589
"SH3BP5",0.0140897098765456,0.435661876115527,6.6546341472818e-05,0.550181867666455
"RP11-286H15.1",0.0802636730589519,0.765713538907498,0.000649497327301568,0.153373290706248
"CNN3",0.00704331167931251,0.953054744536122,0.00101792607014888,0.0388840177144161
"AC024937.6",0.0980435786365306,0.635849670629365,0.00542800076165738,0.260678749972447
"NCF2",0.00555492607660052,0.92035330503079,0.000354803930670886,0.0737369649619387
"SLC9A3",0.0673999906537751,0.735683948677953,0.000513218785861023,0.196402841882411
"SFT2D2",0.0174118071023414,0.767429849233189,0.000356290453858839,0.214802053210611
"PPP2R5A",0.0142655845272645,0.51220015975305,0.00494779380322854,0.468586461916457
"MTIF2",0.0123834572908716,0.805912308633299,0.0018843393530256,0.179819894722803
